participant_id	score	weighted_score
sub-01	6	13
sub-02	4	5.5
sub-03	5	12
sub-04	7	22
sub-05	4	6.5
sub-06	7	22.5
sub-07	7	21.5
sub-08	7	8.5
sub-10	6	15
sub-11	7	14.5
sub-12	6	12.5
sub-13	7	18.5
sub-14	6	13.5
sub-15	5	12
sub-16	5	15
sub-17	7	23.5
sub-18	n/a	n/a
sub-19	6	15.5
sub-20	5	13
sub-21	6	11
sub-22	6	18
sub-23	4	7
sub-24	5	16.5
sub-25	7	25
sub-26	4	8.5
sub-27	4	10
sub-28	5	13.5
sub-29	6	12.5
sub-30	4	10
sub-31	6	13
sub-32	3	1.5
sub-33	7	11
sub-34	5	11
sub-35	6	18
sub-36	6	15.5
sub-37	3	3
sub-38	6	12
sub-39	5	9.5
sub-40	5	17.5
sub-41	3	1.5
sub-42	n/a	n/a
sub-43	6	14
sub-44	6	13.5
sub-45	6	12.5
sub-46	6	9
sub-47	3	1.5
sub-48	n/a	n/a
sub-49	n/a	n/a
